epoch,train_loss,val_loss,val_roc_auc_score
1,1.3305520339943897,0.49187931418418884,0.8408128069583473
2,1.2658758537979418,0.4703885316848755,0.8465052050138092
3,1.2454172624025308,0.4796336591243744,0.8495482322948301
4,1.2279892013447495,0.43734270334243774,0.852072632749722
5,1.2412354350090027,0.48224949836730957,0.8564903335457827
6,1.2142506908639636,0.4627528786659241,0.856752771216836
7,1.2102548747227109,0.41662466526031494,0.8637511091115859
8,1.199262290165342,0.4523155987262726,0.8627513465551933
9,1.2274274282528523,0.43292471766471863,0.8570776940476637
10,1.1923794212012455,0.4506758153438568,0.8611017383371449
11,1.1728516335231591,0.4281611740589142,0.8579774803484174
12,1.2300469540773225,0.43268778920173645,0.8564028543220985
13,1.1555512494967815,0.42550402879714966,0.8623014534048165
14,1.1931391132288967,0.42936593294143677,0.8574213624264237
15,1.1491336676352781,0.4070137143135071,0.865850610480011
16,1.1446653152334278,0.3782235383987427,0.8588522725852611
17,1.1352022064143215,0.42893776297569275,0.8613704245241754
18,1.1627102594722734,0.3954865038394928,0.8675439583099014
19,1.122019635991575,0.4112377464771271,0.867250278058961
20,1.1122167530644442,0.4407658278942108,0.8569089841162725
21,1.1161743788426863,0.37286514043807983,0.8527787150551744
22,1.106015581737533,0.3921184241771698,0.8558467364001049
23,1.098472710085098,0.383916437625885,0.8588522725852611
24,1.0819125798926956,0.38823264837265015,0.8505354978192681
25,1.147378380956321,0.392183780670166,0.8564153513540533
26,1.1319059939676774,0.4160307049751282,0.84426823629388
27,1.0689164256227428,0.42184877395629883,0.8416938477111686
28,1.1408704688265863,0.3644709587097168,0.8605956085429711
