epoch,train_loss,val_loss,val_roc_auc_score
1,0.7670605108141899,0.489611953496933,0.8099550012714629
2,0.5502484571188688,0.41832706332206726,0.8546220438488839
3,0.5108441794291139,0.4654437303543091,0.8652746912556524
4,0.6044964655302465,0.6854620575904846,0.8237310247990536
5,0.6364056225866079,0.8552083969116211,0.8355666854622044
6,0.5159820932894945,0.6802298426628113,0.8461170630313886
7,0.527749399188906,0.6149870753288269,0.8506362842327552
8,0.5079814814962447,0.511650562286377,0.8486959213683152
9,0.4764866232872009,0.4615723788738251,0.8567780025871504
10,0.4719041050411761,0.48756858706474304,0.8606863688126749
11,0.4630635865032673,0.5340154767036438,0.8557940009066083
12,0.4777869270183146,0.5139815807342529,0.8584585447831328
13,0.46149573335424066,0.4644101858139038,0.8604597167401904
